0,25,15,0
1,24,14,1
2,23,15,1
3,22,16,1
4,21,17,2
5,22,18,2
6,23,19,2
7,23,20,3
8,24,19,3
9,25,18,3
10,26,17,3
11,27,17,4
12,26,18,4
13,25,19,4
14,24,20,4
15,24,21,4
16,24,22,4
17,24,23,5
18,23,24,5
19,23,25,5
20,23,26,6
21,24,25,6
22,25,25,6
23,26,25,6
24,27,25,7
25,26,24,7
26,25,23,7
27,24,22,7
28,23,22,7
29,22,21,7
30,21,20,7
31,20,20,7
32,19,21,7
33,18,22,7
34,17,22,8
35,16,21,8
36,15,20,8
37,14,19,8
38,14,18,9
39,13,17,10
40,12,16,10
41,11,15,10
42,10,14,10
43,10,13,11
44,9,14,11
45,8,15,11
46,7,16,11
47,7,17,11
48,7,18,12
49,8,17,12
50,9,16,12
51,10,15,12
52,11,14,12
53,12,13,12
54,13,12,12
55,14,11,12
56,14,10,12
57,14,9,12
58,14,8,12
59,14,7,12
60,14,6,12
61,14,5,12
62,14,4,13
63,15,5,13
64,16,6,13
65,17,7,13
66,18,7,13
67,19,7,13
68,20,7,14
69,21,6,14
70,22,5,14
71,22,4,14
72,22,3,15
73,23,2,15
74,24,2,15
75,25,2,16
76,24,3,16
77,23,4,16
78,22,5,16
79,21,5,16
80,20,5,16
81,19,5,16
82,18,5,16
83,17,5,16
84,16,5,16
85,15,5,16
86,14,5,17
87,15,6,17
88,16,7,17
89,17,8,17
90,18,8,17
91,19,8,17
92,20,8,17
93,21,8,17
94,22,8,17
95,23,8,17
96,24,8,17
97,25,8,17
98,26,8,17
99,27,8,18
100,26,9,18
101,25,10,18
102,24,11,18
103,23,12,18
104,22,13,18
105,21,14,18
106,20,15,18
107,19,16,18
108,18,17,18
109,17,18,18
110,16,19,18
111,16,20,18
112,16,21,18
113,16,22,19
114,15,23,19
115,14,24,19
116,14,25,19
117,14,26,19
118,14,27,19
119,14,28,20
120,15,27,20
121,16,26,20
122,17,25,20
123,18,24,20
124,19,23,20
125,20,24,20
126,21,24,20
127,22,23,20
128,23,22,20
129,24,22,20
130,25,22,20
131,26,22,21
132,27,21,21
133,28,20,21
134,29,19,21
135,29,18,21
136,29,17,21
137,29,16,21
138,29,15,22
139,28,14,22
140,27,13,22
141,27,12,22
142,27,11,22
143,27,10,22
144,27,9,22
145,27,8,22
146,27,7,23
147,26,8,23
148,26,9,23
149,26,10,23
150,26,11,23
151,26,12,23
152,26,13,23
153,26,14,23
154,26,15,23
155,26,16,24
156,26,15,24
157,26,14,24
158,26,13,24
159,26,12,24
160,26,11,24
161,26,10,24
162,26,9,24
163,26,8,24
164,26,7,24
165,26,6,25
166,26,5,25
167,26,4,25
168,26,3,25
169,26,2,26
170,25,3,26
171,25,4,26
172,25,5,27
173,24,4,27
174,23,3,27
175,22,2,27
176,21,1,28
177,20,2,28
178,19,3,28
179,18,4,28
180,17,5,28
181,16,6,28
182,15,7,28
183,14,8,28
184,13,9,28
185,13,10,28
186,13,11,28
187,13,12,28
188,12,13,28
189,11,14,28
190,10,14,29
191,10,15,29
192,10,16,29
193,10,17,29
194,10,18,29
195,10,19,29
196,10,20,29
197,10,21,29
198,10,22,29
199,10,23,30
200,11,22,30
